day,pressure,maxtemp,temperature,mintemp,dewpoint,humidity,cloud,rainfall,sunshine,wind,windspeed
9,1009.3,32.0,27.7,22.8,21.6,70.5,25.5,no,9.858333333333333,44.4,14.8
10,1010.2,32.0,28.1,24.0,21.8,70.5,43.4,yes,8.583333333333334,80.9,13.0
11,1013.0,33.0,28.0,23.5,18.1,57.6,28.1,yes,11.291666666666666,61.2,25.9
12,1014.7,32.0,27.0,22.0,15.3,50.1,7.2,no,11.554166666666667,41.3,35.3
13,1015.5,31.0,26.4,21.6,15.2,51.2,8.8,no,11.616666666666667,36.1,24.1
14,1016.2,32.0,26.6,21.6,16.9,56.2,48.3,no,11.3125,17.1,16.6
15,1015.0,33.0,27.7,22.4,16.5,51.9,24.0,no,10.820833333333333,38.3,24.1
16,1013.6,32.0,27.0,21.9,15.4,50.4,34.0,no,11.258333333333333,44.1,20.5
17,1012.9,32.0,27.1,22.0,18.6,61.0,20.3,no,10.9125,334.0,11.2
18,1012.7,33.0,28.2,23.2,20.5,64.4,25.4,no,10.108333333333333,339.4,13.0
19,1011.0,32.0,28.3,23.8,19.9,61.8,33.8,yes,9.179166666666667,30.2,16.6
20,1008.8,35.0,28.7,24.8,22.4,70.7,41.0,yes,9.429166666666667,165.2,14.8
21,1010.1,34.0,29.2,25.1,23.2,71.4,38.9,no,9.495833333333334,163.6,98.3
22,1010.1,34.0,29.5,25.8,23.4,71.1,42.2,yes,9.054166666666667,161.2,16.6
23,1010.6,33.0,29.0,26.0,23.5,73.1,44.0,yes,8.345833333333333,159.7,14.8
24,1011.6,34.0,28.9,25.0,23.2,72.5,31.0,yes,9.179166666666667,154.4,20.5
25,1010.1,35.0,29.8,25.4,21.8,64.3,44.3,yes,9.354166666666666,273.6,11.2
26,1009.2,34.0,28.8,25.7,23.1,72.7,49.3,yes,9.683333333333334,145.6,18.4
27,1010.2,34.0,29.2,24.8,20.9,64.0,48.9,yes,9.795833333333333,51.5,20.5
28,1009.8,35.0,30.0,25.0,19.3,53.8,15.9,no,11.095833333333333,58.3,20.5
1,1009.9,34.4,29.4,24.7,20.1,58.9,35.7,no,10.908333333333333,59.9,20.5
2,1010.0,34.0,28.9,24.6,17.8,52.9,38.4,yes,11.174999999999999,48.5,22.3
3,1008.5,33.0,28.2,23.5,19.8,63.0,33.8,no,11.1,92.5,14.8
4,1008.1,34.0,28.4,23.8,20.3,64.1,26.8,no,11.7125,176.5,14.8
5,1008.4,33.0,28.2,24.0,22.1,70.8,30.2,no,9.558333333333334,159.4,22.3
6,1007.8,34.0,28.9,24.0,23.2,73.0,33.8,yes,10.245833333333334,154.8,16.6
7,1008.7,34.0,28.6,25.0,22.7,72.1,38.2,yes,9.791666666666666,155.2,16.6
8,1009.3,33.0,28.3,23.0,19.9,62.3,17.4,yes,9.987499999999999,162.3,18.4
9,1009.0,34.0,28.3,23.8,21.4,68.1,34.3,no,9.858333333333333,164.7,14.8
10,1008.9,34.0,28.4,23.0,20.9,65.6,21.3,no,12.391666666666666,161.0,16.6
11,1009.1,34.0,28.9,24.0,22.3,69.0,21.8,no,10.916666666666666,159.9,18.4
12,1009.3,36.0,29.5,25.0,22.9,69.9,30.4,yes,11.237499999999999,157.1,22.3
13,1008.7,37.0,30.3,25.0,22.9,67.6,35.9,no,9.904166666666667,156.6,16.6
14,1008.4,36.0,30.3,25.0,23.2,67.9,33.1,no,11.233333333333334,162.4,22.3
15,1008.5,36.0,30.2,26.0,23.2,68.0,37.9,yes,9.987499999999999,152.7,18.4
16,1008.0,34.0,29.9,26.0,22.7,66.7,34.7,yes,9.1875,157.0,16.6
17,1008.9,34.0,30.0,26.7,23.7,70.3,47.4,yes,9.058333333333334,143.8,16.6
18,1010.3,35.0,30.0,26.0,23.1,68.1,46.1,yes,10.275,153.9,20.5
19,1010.8,36.0,30.2,25.0,23.0,68.0,31.4,yes,9.620833333333334,152.5,20.5
20,1010.0,35.0,30.2,26.1,23.0,67.4,46.9,yes,9.379166666666666,162.0,14.8
21,1009.5,35.0,29.3,25.3,23.3,72.1,46.3,yes,9.7875,153.8,18.4
22,1008.2,35.0,29.9,25.8,24.0,72.4,42.8,yes,8.841666666666667,145.7,16.6
23,1008.7,35.0,30.1,26.0,23.1,67.9,39.9,yes,9.395833333333334,153.1,22.3
24,1009.8,34.0,30.1,26.0,22.8,66.8,41.0,yes,10.950000000000001,149.5,14.8
25,1010.1,35.0,30.2,24.0,23.3,68.9,43.7,yes,9.970833333333333,136.4,16.6
26,1010.4,34.0,29.8,26.0,23.9,72.1,43.1,yes,8.754166666666666,120.9,14.8
27,1011.8,35.0,29.9,26.0,21.7,63.9,44.1,yes,9.5,36.7,16.6
28,1011.2,35.0,29.5,25.9,22.8,68.9,38.3,yes,10.770833333333334,6.0,25.9
29,1011.4,35.0,29.4,25.0,23.2,70.9,48.0,yes,9.654166666666667,147.0,20.5
30,1011.8,35.0,28.8,25.0,23.7,76.4,53.3,yes,9.549999999999999,111.8,16.6
31,1011.1,35.0,29.2,25.7,23.9,75.0,59.1,yes,8.933333333333334,161.3,22.3
1,1010.9,27.0,25.8,23.1,24.1,90.7,60.6,yes,6.091666666666666,53.2,18.4
2,1011.2,31.0,27.6,25.0,24.0,81.9,62.5,yes,7.541666666666667,7.5,16.6
3,1011.3,33.0,27.8,25.9,22.8,75.5,52.6,yes,7.241666666666667,65.6,20.5
4,1010.5,33.0,28.6,24.9,23.6,75.8,59.0,yes,6.091666666666666,86.5,9.4
5,1008.9,33.0,28.4,25.7,24.5,81.0,52.8,yes,9.791666666666666,142.8,14.8
6,1008.4,32.0,28.4,24.9,24.7,81.4,58.4,yes,8.270833333333334,91.3,16.6
7,1008.3,34.0,28.8,26.0,24.9,80.6,52.9,yes,10.604166666666666,149.5,14.8
8,1008.5,35.0,29.7,25.9,24.8,77.0,36.7,yes,10.683333333333332,151.8,14.8
9,1007.9,34.0,30.1,25.8,24.8,75.2,37.4,yes,10.762500000000001,167.2,14.8
10,1007.1,35.0,30.6,26.9,25.2,74.4,37.1,yes,11.208333333333334,167.2,14.8
11,1006.6,36.0,31.1,27.0,25.3,72.9,41.4,yes,10.3375,176.0,14.8
12,1007.0,36.0,31.1,27.0,24.8,71.4,30.9,no,11.929166666666667,175.7,16.6
13,1009.7,33.5,29.3,25.0,24.8,77.5,38.3,yes,10.008333333333333,122.6,20.5
14,1010.0,34.0,29.7,26.0,24.1,73.3,44.2,yes,10.591666666666667,145.0,14.8
15,1008.8,34.0,30.4,25.8,23.1,66.8,41.4,no,12.6875,166.1,14.8
16,1008.5,34.0,30.1,26.0,23.6,69.6,32.8,no,11.483333333333334,167.6,16.6
17,1009.2,35.0,30.4,26.0,23.8,69.5,38.3,no,11.745833333333332,162.4,13.0
18,1008.3,37.0,30.6,27.0,24.3,71.0,43.0,yes,11.450000000000001,190.3,20.5
19,1008.1,36.0,31.1,26.1,23.9,67.9,26.5,yes,12.254166666666668,181.8,20.5
20,1008.2,37.0,31.3,26.0,23.5,65.7,20.6,no,12.829166666666666,181.4,16.6
21,1007.9,37.0,31.4,26.8,23.0,64.4,22.5,no,12.0375,187.0,53.0
22,1007.5,37.0,31.5,27.3,23.4,64.6,33.7,yes,12.104166666666666,195.6,13.0
23,1008.0,38.0,31.3,27.0,24.0,68.0,40.7,yes,11.387500000000001,178.9,18.4
24,1009.0,35.0,29.7,26.0,24.5,74.7,40.4,yes,10.2875,163.5,22.3
25,1008.6,37.0,29.5,26.9,24.7,77.1,54.4,yes,11.295833333333334,173.3,13.0
26,1008.1,36.0,30.0,26.0,24.6,74.9,52.9,yes,11.5875,170.5,18.4
27,1008.4,35.1,29.7,26.8,24.6,75.2,46.0,yes,10.829166666666666,175.0,24.1
28,1008.6,35.0,29.3,26.0,25.5,81.2,57.2,yes,10.216666666666667,153.7,16.6
29,1010.3,31.0,28.3,24.8,24.6,81.4,57.8,yes,8.875,46.4,14.8
30,1009.4,35.0,30.1,26.0,24.7,74.3,46.6,yes,9.125,158.0,11.2
1,1009.2,34.0,30.2,27.0,25.3,76.0,45.9,yes,10.166666666666666,190.0,16.6
2,1008.8,35.0,30.8,27.0,25.2,73.8,53.1,yes,9.783333333333333,176.5,18.4
3,1008.6,36.0,30.7,26.0,25.6,75.6,44.8,yes,10.033333333333333,185.1,33.5
4,1008.2,35.0,30.3,27.8,25.9,78.7,44.5,yes,10.679166666666667,180.0,24.1
5,1010.1,33.0,28.8,25.8,24.6,79.0,55.7,yes,9.454166666666667,160.0,11.2
6,1010.7,35.0,30.0,24.0,24.9,75.3,47.6,yes,10.825000000000001,150.6,13.0
7,1010.5,34.0,29.0,25.0,24.7,78.5,51.4,yes,9.225,168.6,16.6
8,1008.7,35.0,30.0,27.0,24.5,73.4,48.2,yes,11.012500000000001,157.3,18.4
9,1008.3,35.0,28.9,26.0,24.6,79.4,55.3,yes,8.870833333333334,148.0,27.7
10,1009.3,34.0,27.7,25.0,25.1,86.7,61.7,yes,8.1,109.9,22.3
11,1009.5,34.0,28.3,25.0,25.0,83.8,63.2,yes,9.404166666666667,107.3,14.8
12,1008.1,34.0,29.5,26.0,25.4,79.6,58.6,yes,10.379166666666666,141.3,13.0
13,1007.3,34.0,30.1,27.0,24.9,75.2,50.9,yes,10.145833333333334,162.5,16.6
14,1006.6,34.0,30.0,27.0,25.4,77.7,53.1,yes,8.5625,161.4,22.3
15,1006.1,34.0,28.6,26.9,25.6,84.6,60.4,yes,7.820833333333333,202.7,18.4
16,1005.9,34.0,29.2,27.0,25.9,83.4,57.0,yes,8.508333333333333,188.9,20.5
17,1006.1,33.0,29.2,26.7,25.8,83.0,53.1,yes,10.5375,182.1,16.6
18,1006.7,35.0,29.6,27.1,26.1,82.7,51.9,yes,8.4625,188.2,31.7
19,1007.1,34.0,29.4,27.0,26.3,84.0,51.4,yes,6.929166666666667,205.5,14.8
20,1005.4,36.0,29.5,26.0,26.2,84.3,52.6,yes,7.758333333333333,187.6,18.4
21,1004.4,36.0,29.6,26.0,26.2,84.1,61.1,yes,9.35,205.3,22.3
22,1005.3,35.0,28.9,26.0,26.0,85.8,53.5,yes,7.229166666666667,190.4,25.9
23,1005.8,34.1,29.3,26.9,26.1,84.1,54.4,yes,8.737499999999999,196.9,22.3
24,1005.8,34.0,29.4,27.0,25.9,82.2,54.7,yes,8.4375,200.3,16.6
25,1005.8,35.0,29.4,26.8,25.7,81.7,53.4,yes,8.895833333333334,203.5,202.0
26,1006.0,33.0,28.8,27.0,25.7,84.1,52.5,yes,5.941666666666666,216.1,14.8
27,1005.6,34.0,28.6,25.9,25.6,85.2,54.6,yes,5.345833333333334,198.2,18.4
28,1005.6,34.0,29.4,26.6,25.6,81.3,56.7,yes,6.5125,212.2,24.1
29,1006.5,34.0,29.0,26.3,25.8,84.2,59.8,yes,7.708333333333333,206.5,16.6
30,1007.3,35.0,30.1,27.0,25.2,76.8,55.2,yes,8.466666666666667,212.3,18.4
31,1007.6,34.0,29.8,26.6,25.7,79.7,54.5,yes,8.958333333333334,242.5,11.2
1,1006.7,34.0,30.6,27.3,25.8,76.5,43.1,yes,10.5375,190.6,20.5
2,1007.2,35.0,30.9,28.0,25.4,74.1,42.6,yes,9.195833333333333,230.7,22.3
3,1007.4,35.0,29.9,27.0,25.7,78.9,49.8,yes,9.966666666666667,214.0,20.5
4,1006.7,34.0,30.0,27.0,24.4,73.7,44.1,yes,8.133333333333333,215.4,31.7
5,1006.5,34.0,29.9,26.2,24.6,74.8,43.7,yes,7.845833333333334,219.0,25.9
6,1006.9,33.0,29.3,26.4,24.1,74.3,54.8,yes,7.3125,218.6,40.7
7,1007.5,33.0,29.5,25.9,24.3,74.7,58.5,yes,6.958333333333333,217.0,22.3
8,1006.6,35.0,29.2,26.6,24.5,77.1,55.3,yes,6.604166666666667,214.7,20.5
9,1006.5,34.0,29.8,26.0,24.7,75.7,44.1,yes,10.783333333333333,201.8,18.4
10,1007.2,36.0,29.1,25.0,25.0,80.8,52.4,yes,10.1625,214.6,16.6
11,1007.7,34.0,30.2,26.7,24.1,72.1,54.6,no,8.366666666666667,245.3,15.7
12,1007.3,35.0,30.5,26.8,22.2,63.3,46.8,no,8.8375,256.1,13.0
13,1007.1,36.0,31.5,27.1,22.6,61.4,45.0,no,10.875,253.9,13.0
14,1008.3,35.0,30.5,27.0,23.8,69.0,50.8,yes,7.3999999999999995,231.9,14.8
15,1008.9,36.0,29.5,25.7,24.4,76.5,52.8,yes,10.9625,251.7,20.5
16,1007.5,36.0,31.2,27.0,23.9,68.2,23.5,no,11.941666666666668,228.3,13.0
17,1005.9,36.0,30.9,27.7,25.1,72.8,40.5,yes,11.9375,213.3,14.8
18,1005.5,36.0,31.1,27.1,23.9,67.3,41.5,yes,11.245833333333332,215.3,16.6
19,1006.3,35.0,30.4,26.3,23.9,69.4,55.8,yes,10.283333333333333,232.0,20.5
20,1006.3,35.0,29.9,26.8,24.4,74.3,47.3,yes,10.129166666666666,243.6,22.3
21,1006.3,35.0,29.1,25.0,24.8,79.6,46.0,yes,9.3375,226.2,27.7
22,1006.6,33.0,28.2,26.0,25.2,84.8,56.1,yes,8.820833333333333,225.4,16.6
23,1006.1,34.0,28.1,25.7,24.8,83.7,59.7,yes,7.870833333333334,229.4,16.6
24,1004.9,33.0,28.2,26.0,24.3,80.7,56.4,yes,9.429166666666667,231.6,18.4
25,1006.3,31.0,27.4,25.7,23.9,81.4,52.5,yes,6.020833333333333,228.0,22.3
26,1007.0,35.0,28.1,25.1,24.8,83.7,48.1,yes,9.491666666666667,214.8,16.6
27,1006.9,35.0,29.3,25.9,24.8,78.2,39.4,yes,9.612499999999999,222.0,13.0
28,1007.0,34.0,29.6,26.6,25.2,77.8,44.9,yes,8.445833333333333,190.1,24.1
29,1007.1,35.0,29.5,26.0,24.9,77.9,48.0,yes,10.391666666666667,186.5,16.6
30,1007.1,34.0,28.5,26.0,25.5,84.5,52.5,yes,9.370833333333334,200.8,22.3
1,1007.0,35.0,29.7,27.0,25.0,76.9,48.7,yes,9.549999999999999,211.6,16.6
2,1007.3,35.0,29.4,26.0,24.9,78.8,56.2,yes,9.2875,237.9,16.6
3,1007.1,34.0,29.0,26.0,25.3,81.8,50.5,yes,9.862499999999999,220.5,37.1
4,1007.3,35.0,28.8,26.0,25.0,81.4,56.2,yes,9.325000000000001,229.2,20.5
5,1008.4,33.4,28.2,25.0,24.4,81.3,69.4,yes,8.795833333333333,221.8,24.1
6,1007.8,34.0,29.1,25.8,24.8,79.5,59.8,yes,8.941666666666666,220.5,22.3
7,1008.3,33.0,29.5,26.1,23.8,72.8,54.0,yes,7.629166666666666,222.6,22.3
8,1008.3,34.1,29.8,26.2,23.9,72.2,52.0,yes,9.470833333333333,221.0,18.4
9,1008.7,35.0,29.2,26.5,24.5,77.3,47.6,yes,10.516666666666667,238.8,16.6
10,1007.4,35.0,29.7,26.0,24.9,77.0,49.1,yes,8.9,254.6,20.5
11,1006.9,35.0,28.8,23.0,24.9,80.9,61.4,yes,8.720833333333333,222.9,24.1
12,1007.6,33.0,28.8,26.0,24.9,80.8,65.2,yes,8.229166666666666,234.3,16.6
13,1007.4,34.0,28.9,25.6,24.0,76.0,57.7,yes,6.254166666666666,238.4,27.7
14,1006.9,33.0,29.3,25.4,23.3,71.2,55.2,yes,7.808333333333334,230.7,24.1
15,1005.9,32.0,28.5,26.0,23.4,74.7,63.0,yes,4.283333333333333,238.3,37.1
16,1004.3,31.0,28.2,26.0,23.3,75.6,65.9,yes,7.366666666666667,236.4,35.3
17,1005.9,29.0,26.4,25.0,23.9,86.2,67.2,yes,3.9250000000000003,217.6,27.7
18,1008.5,30.0,26.5,24.0,24.8,90.8,63.2,yes,9.237499999999999,185.2,14.8
19,1007.9,31.0,26.8,25.0,24.4,87.8,70.5,yes,5.3125,216.0,13.0
20,1006.3,32.0,27.0,24.0,24.7,88.6,70.6,yes,3.579166666666667,212.8,27.7
21,1007.4,32.0,27.8,24.7,23.9,80.7,60.6,yes,5.291666666666667,210.7,16.6
22,1008.0,32.0,28.6,25.4,23.7,76.2,57.9,yes,8.983333333333333,227.7,24.1
23,1006.9,34.0,29.4,26.0,24.0,73.6,59.2,yes,10.604166666666666,238.6,22.3
24,1005.4,33.0,28.7,26.5,24.2,77.3,66.3,yes,6.033333333333334,237.0,27.7
25,1003.9,29.0,26.9,25.0,24.1,84.9,71.9,yes,2.8375,221.4,31.7
26,1003.5,30.0,26.8,25.0,24.7,88.4,65.7,yes,7.429166666666667,213.6,22.3
27,1005.3,32.0,27.9,25.0,24.0,80.7,66.9,yes,6.441666666666666,218.5,25.9
28,1006.3,34.0,28.9,25.0,24.3,77.2,55.6,yes,7.9375,225.5,22.3
29,1006.4,34.0,29.9,26.0,24.6,74.4,55.2,yes,9.133333333333333,224.6,33.5
30,1005.4,33.0,29.5,27.0,24.8,76.4,56.0,yes,9.2125,226.1,24.1
31,1005.7,34.0,30.0,27.0,24.8,74.5,50.1,yes,8.6625,219.1,25.9
1,1007.0,33.0,29.3,27.2,25.1,78.9,55.4,yes,7.795833333333333,226.9,22.3
2,1006.5,34.0,29.7,27.0,25.1,77.2,44.8,yes,8.708333333333334,224.6,20.5
3,1004.8,34.0,29.3,27.0,25.2,79.2,47.1,yes,7.983333333333333,215.2,27.7
4,1004.1,33.0,29.1,27.0,25.0,80.3,53.5,yes,7.304166666666667,210.0,27.7
5,1005.7,32.0,28.5,26.0,24.9,81.7,62.8,yes,6.266666666666667,204.6,83.5
6,1007.4,34.0,28.3,26.0,25.5,85.7,49.9,yes,9.429166666666667,180.8,14.8
7,1008.2,34.0,30.0,26.0,24.6,74.7,43.5,no,10.991666666666667,229.2,11.2
8,1008.5,35.0,30.5,26.9,24.8,73.2,40.8,yes,11.5625,218.2,13.0
9,1008.5,35.0,29.5,24.0,24.8,77.8,45.7,yes,11.179166666666667,240.4,20.5
10,1007.6,34.0,29.7,26.0,24.4,74.6,52.4,no,11.558333333333332,228.4,14.8
11,1007.2,36.0,30.2,24.0,23.6,70.3,36.6,no,11.975,226.1,16.6
12,1007.5,34.0,30.2,26.8,25.5,77.4,49.5,yes,11.983333333333334,209.1,14.8
13,1007.9,33.0,29.3,27.6,25.7,81.7,51.9,yes,9.895833333333334,193.2,20.5
14,1007.8,35.0,30.3,27.0,25.7,77.9,42.2,yes,9.5,183.3,24.1
15,1007.0,34.0,29.9,27.0,24.7,74.8,44.0,yes,9.829166666666667,206.5,20.5
16,1006.1,32.0,28.1,25.0,24.3,81.1,52.8,yes,6.741666666666667,223.2,24.1
17,1005.4,33.0,28.5,25.7,24.3,79.0,60.2,yes,7.129166666666666,243.7,16.6
18,1006.5,31.0,27.3,25.5,24.1,82.8,68.1,yes,5.941666666666666,249.2,22.3
19,1006.9,32.0,27.5,25.0,24.6,84.9,61.3,yes,8.0875,220.2,20.5
20,1006.3,33.0,27.6,25.0,24.7,85.1,46.2,yes,7.908333333333334,217.8,24.1
21,1005.4,33.0,28.7,25.0,24.6,79.8,49.0,yes,10.137500000000001,243.5,16.6
22,1005.0,33.0,29.0,26.3,24.0,75.2,58.3,yes,8.525,248.4,25.9
23,1005.1,33.0,28.8,26.0,23.7,75.2,59.9,yes,6.6125,226.1,25.9
24,1005.8,34.0,28.5,25.8,24.2,78.2,52.4,yes,10.041666666666666,226.3,20.5
25,1005.8,34.0,28.1,26.0,24.9,84.2,60.0,yes,7.454166666666667,221.2,24.1
26,1004.1,32.0,27.6,25.0,25.2,87.9,61.8,yes,4.579166666666667,220.2,13.0
27,1004.0,32.0,27.7,25.0,24.6,84.3,53.8,yes,3.9791666666666665,211.9,27.7
28,1006.1,32.0,28.0,25.4,24.7,83.2,54.3,yes,6.858333333333333,202.7,18.4
29,1006.9,33.8,28.1,25.0,24.2,81.0,61.5,yes,9.3375,223.8,14.8
30,1007.4,35.0,29.1,25.0,25.1,81.0,60.1,yes,11.229166666666666,213.1,42.5
31,1007.9,35.0,29.6,27.0,25.0,78.2,62.7,yes,9.816666666666666,243.6,14.8
1,1007.9,35.0,29.1,26.0,24.8,79.2,51.1,yes,10.533333333333333,227.7,20.5
2,1007.0,35.0,29.2,25.9,24.7,78.1,46.6,yes,9.379166666666666,236.7,14.8
3,1006.8,34.0,29.3,26.0,25.4,81.1,55.2,yes,11.029166666666667,218.4,29.5
4,1006.9,35.0,29.7,26.8,25.5,79.5,56.2,yes,8.958333333333334,212.1,16.6
5,1007.3,35.0,30.3,26.0,25.2,75.7,49.2,yes,10.079166666666667,199.7,14.8
6,1007.2,36.0,30.2,27.0,25.5,77.7,52.5,yes,10.704166666666666,200.2,14.8
7,1007.7,35.0,30.1,27.0,25.5,77.6,53.5,yes,11.054166666666667,203.9,14.8
8,1008.1,33.0,30.0,27.0,25.9,79.7,53.3,yes,11.329166666666666,272.1,11.2
9,1007.4,32.0,28.5,25.0,25.5,84.3,56.8,yes,9.4625,199.2,14.8
10,1008.4,33.0,29.5,24.0,24.4,75.3,45.1,yes,8.545833333333333,56.7,38.9
11,1008.3,34.0,29.6,26.0,24.8,76.6,52.1,yes,8.3125,193.9,24.1
12,1008.9,33.0,28.9,26.0,24.7,78.7,49.2,yes,8.987499999999999,348.6,13.0
13,1007.3,35.0,30.5,26.9,25.0,73.8,46.2,yes,10.083333333333334,284.5,13.0
